videoId;author;text;publishedAt;likeCount;search_keyword;video_title;;;;
Th_G-abA5sw;@ganjarsutikno3786;Dalam vidio sopirnya mabuk tuak;2025-01-16T00:31:59Z;1;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@hasanudin6265;Yaelah lebay amat;2025-01-14T13:33:46Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@awansatriadi1160;Gak juga bos, tergantung driver nya;2025-01-14T04:28:35Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@LWijaya0707;terlalu berlebihan, klo memang seburuk yg dividio knp bisa tetap laku;2025-01-12T03:41:34Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@franciscoalfaredokavyrus1901;"""Tergantung Pilot""";2025-01-10T15:26:18Z;3;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@YosephSaroha;Driverx abal2... Masa hnya gitu kewalahan, akting ente😅;2025-01-10T13:41:06Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@mandiriraya7976;Tergantung skil;2025-01-10T08:16:12Z;1;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@zakkimuhamad653;3 silinder tersenyum lebar bang 😂;2025-01-07T13:33:50Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@rudiadja4655;Lebaiii,ngak kayak gitu juga;2025-01-04T02:36:40Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@ItzGamingPlayzRblxMC;Dulu mobil ku mpv grand livina, dah pake 12 tahun fwd kuat nanjak, skrng apgret jdi xtrail 2017, jg fwd tpi suv, 2.500cc, udh pernah bawa ke sumbar dri tangsel, sm ke bali;2025-01-03T23:15:12Z;2;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@afiddedi127;Lebai;2025-01-03T14:42:39Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@donalhafidz1807;Bikin vidio nya bikin orang ngedown aja yang pemula beli lcgc bang.. Padahal gak gitu2 amat.. Auto Unscuribe 👋;2025-01-02T23:11:44Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@AgusSaptoyo-o3s;Mantap;2025-01-02T08:07:53Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@liannuraini4622;Lu ngejek LCGC ya;2025-01-02T06:47:03Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@erickbramantyo6774;Dari segi CC aja udah beda😂😂.... Tanjakan segitu aja masa agya gk bisa nail... Terlalu drama😂😂😂😂 somplak;2025-01-02T05:08:40Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
